aula,dia,hora_inicio,hora_fin,codigo,curso,grupo,nrc,profesor,detalle
L601,LUNES,08:00,12:10,AME408,GEOLOGIA AMBIENTAL Y SUELOS,01,51769,PABLO RAMIREZ GRANADOS,
708,MIERCOLES,08:00,12:00,,,,,USAC,USAC
